Date,Route,Assigned,Delivered,Returns,Missing,Profit($),DriverPay($),Main ID,Your ID,ID Ranges
2025-06-07,L6,104,98,6,0,39.20,171.50,ld001,ld001,00-00
2025-06-08,L6,157,139,18,0,55.60,243.25,ld001,ld001,00-00
2025-06-10,L1,86,86,0,0,21.50,116.10,ld001,ld001,00-00
2025-06-11,L1,98,98,0,0,24.50,132.30,ld001,ld001,00-00
2025-06-12,L1,144,134,10,0,33.50,180.90,ld202,ld202,600-750
2025-06-14,L4,109,97,12,0,48.50,145.50,ld505,ld505,551-800
2025-06-15,L4,127,120,7,0,60.00,180.00,ld905,ld905,200-350
2025-06-17,L4,123,115,8,0,57.50,172.50,ld901,ld901,ld901
2025-06-18,L4,130,126,4,0,63.00,189.00,ld901,ld901,381-499
2025-06-19,L4,90,84,3,3,42.00,126.00,ld902,ld902,500-600
