Date,Route,Assigned,Delivered,Returns,Missing,Profit($),DriverPay($),Main ID,Your ID,ID Ranges
2025-06-07,L6,124,124,0,0,49.60,217.00,ld001,ld001,00-00
2025-06-10,L1,91,91,0,0,22.75,122.85,ld001,ld001,00-00
2025-06-11,L1,96,96,0,0,24.00,129.60,ld001,ld001,00-00
2025-06-12,L1,98,85,13,0,21.25,114.75,ld107,ld107,400-500
2025-06-09,L1,125,122,2,1,30.50,164.70,ld001,ld001,00-00
2025-06-14,L4,127,124,3,0,62.00,186.00,ld508,ld508,101-300
2025-06-16,L4,115,111,4,0,55.50,166.50,ld903,ld903,601-700
2025-06-17,L4,135,128,6,1,64.00,192.00,ld902,ldd902,00-00
2025-06-18,L4,130,126,0,4,63.00,189.00,ld901,ld901,381-499
2025-06-19,L4,101,94,4,3,47.00,141.00,ld801,ld801,900-1000
