Date,Route,Assigned,Delivered,Returns,Missing,Profit($),DriverPay($),Main ID,Your ID,ID Ranges
2024-06-03,L1,89,89,0,0,22.25,120.15,ld001,ld001,00-00
2025-06-04,L1,72,72,0,0,18.00,97.20,ld001,l1,00-00
2025-06-06,L4,96,96,0,0,48.00,144.00,ld001,ld001,00-00
2025-06-09,L1,75,75,0,0,18.75,101.25,ld001,ld001,00-00
2025-06-10,L1,97,97,0,0,24.25,130.95,00-00,ld001,00-00
2025-06-11,L1,98,98,0,0,24.50,132.30,ld001,ld001,00-00
2025-06-12,L1,96,96,0,0,24.00,129.60,ld002,ld002,101-200
2025-06-13,L1,99,98,1,0,24.50,132.30,ld602,ld602,101-202
2025-06-17,L4,143,142,1,0,71.00,213.00,ld415,ld415,1-50
2025-06-18,L4,100,95,5,0,47.50,142.50,ld906,ld906,800-900
2025-06-20,L4,144,142,0,2,71.00,213.00,ld122,ld122,00-00
